what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1394060808900
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1394060808900
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1394060808901
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1394060808901
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1394060808914
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1394060808915
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1394060808931
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1394060808938
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1394060808939
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1394060808973
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1394060808982
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1394060808982
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1394060808992
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1394060809005
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1394060809021
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1394060809036
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1394060809036
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1394060809048
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1394060809067
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1394060809068
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1394060809068
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1394060809068
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1394060809080
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1394060809093
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1394060809093
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1394060809098
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1394060809099
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1394060809112
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1394060809119
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1394060809119
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1394060809119
os,sysinfo,,,"linux",1394060809122
arch,sysinfo,,,"x86_64",1394060809122
ws,sysinfo,,,"gtk",1394060809122
locale,sysinfo,,,"en_CA",1394060809122
processors,sysinfo,,,"4",1394060809122
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1394060809122
java.runtime.version,sysinfo,,,"1.7.0_51-b00",1394060809122
java.specification.name,sysinfo,,,"Java Platform API Specification",1394060809122
java.specification.vendor,sysinfo,,,"Oracle Corporation",1394060809122
java.specification.version,sysinfo,,,"1.7",1394060809122
java.vendor,sysinfo,,,"Oracle Corporation",1394060809122
java.version,sysinfo,,,"1.7.0_51",1394060809122
java.vm.info,sysinfo,,,"mixed mode",1394060809122
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1394060809122
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394060809122
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1394060809122
java.vm.specification.version,sysinfo,,,"1.7",1394060809122
java.vm.vendor,sysinfo,,,"Oracle Corporation",1394060809122
java.vm.version,sysinfo,,,"24.45-b08",1394060809122
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1394060810602
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1394060831374
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1394060833085
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1394060898519
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1394060899935
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1394060900746
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1394060900747
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1394060900888
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1394060901263
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1394060901298
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1394060901347
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1394060901596
