what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1393790309257
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1393790309257
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1393790309258
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1393790309260
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1393790309260
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1393790309261
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1393790309262
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1393790309262
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1393790309263
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1393790309263
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1393790309264
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1393790309264
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1393790309265
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1393790309265
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1393790309266
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1393790309266
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1393790309266
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1393790309267
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1393790309267
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1393790309267
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1393790309267
os,sysinfo,,,"linux",1393790309270
arch,sysinfo,,,"x86_64",1393790309270
ws,sysinfo,,,"gtk",1393790309270
locale,sysinfo,,,"en_CA",1393790309270
processors,sysinfo,,,"4",1393790309270
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1393790309270
java.runtime.version,sysinfo,,,"1.7.0_51-b00",1393790309270
java.specification.name,sysinfo,,,"Java Platform API Specification",1393790309270
java.specification.vendor,sysinfo,,,"Oracle Corporation",1393790309270
java.specification.version,sysinfo,,,"1.7",1393790309270
java.vendor,sysinfo,,,"Oracle Corporation",1393790309270
java.version,sysinfo,,,"1.7.0_51",1393790309270
java.vm.info,sysinfo,,,"mixed mode",1393790309270
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1393790309270
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1393790309270
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1393790309270
java.vm.specification.version,sysinfo,,,"1.7",1393790309270
java.vm.vendor,sysinfo,,,"Oracle Corporation",1393790309270
java.vm.version,sysinfo,,,"24.45-b08",1393790309270
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1393790311080
